emission_id,shipment_id,co2_kg,fuel_consumption_l,reduction_vs_road_kg,sustainability_score
122,122,203.06,75.77,81.22,0.92
123,123,823.99,307.46,329.6,0.95
124,124,275.64,102.85,110.26,0.74
125,125,5.87,2.19,2.35,0.88
126,126,175.51,65.49,70.2,0.74
127,127,95.97,35.81,38.39,0.92
128,128,191.14,71.32,76.46,0.89
129,129,48.51,18.1,19.4,0.68
130,130,330.47,123.31,132.19,0.76
131,131,257.95,96.25,103.18,0.67
132,132,10.72,4.0,4.29,0.76
133,133,444.26,165.77,177.7,0.87
134,134,222.15,82.89,88.86,0.64
135,135,334.97,124.99,133.99,0.66
136,136,120.89,45.11,48.36,0.89
137,137,79.62,29.71,31.85,0.63
138,138,378.74,141.32,151.5,0.74
139,139,26.45,9.87,10.58,0.93
140,140,141.02,52.62,56.41,0.73
141,141,392.38,146.41,156.95,0.66
142,142,276.36,103.12,110.54,0.87
143,143,325.49,121.45,130.2,0.92
144,144,144.4,53.88,57.76,0.77
145,145,173.24,64.64,69.3,0.62
146,146,63.89,23.84,25.56,0.89
147,147,222.2,82.91,88.88,0.74
148,148,191.41,71.42,76.56,0.92
149,149,382.78,142.83,153.11,0.63
150,150,10.4,3.88,4.16,0.64
151,151,156.38,58.35,62.55,0.94
152,152,72.01,26.87,28.8,0.73
153,153,73.75,27.52,29.5,0.92
154,154,63.36,23.64,25.34,0.82
155,155,173.21,64.63,69.28,0.8
156,156,335.59,125.22,134.24,0.9
157,157,368.53,137.51,147.41,0.79
158,158,52.15,19.46,20.86,0.87
159,159,12.11,4.52,4.84,0.66
160,160,46.82,17.47,18.73,0.92
161,161,126.79,47.31,50.72,0.62
162,162,164.44,61.36,65.78,0.89
163,163,474.36,177.0,189.74,0.81
164,164,92.25,34.42,36.9,0.66
165,165,173.4,64.7,69.36,0.81
166,166,200.79,74.92,80.32,0.94
167,167,10.8,4.03,4.32,0.66
168,168,99.13,36.99,39.65,0.84
169,169,218.31,81.46,87.32,0.64
170,170,217.99,81.34,87.2,0.71
171,171,79.03,29.49,31.61,0.69
172,172,143.27,53.46,57.31,0.85
173,173,65.37,24.39,26.15,0.66
174,174,206.01,76.87,82.4,0.9
175,175,99.96,37.3,39.98,0.63
176,176,236.75,88.34,94.7,0.65
177,177,101.68,37.94,40.67,0.88
178,178,183.5,68.47,73.4,0.74
179,179,255.65,95.39,102.26,0.95
180,180,93.0,34.7,37.2,0.68
181,181,69.33,25.87,27.73,0.77
182,182,493.17,184.02,197.27,0.82
183,183,3.54,1.32,1.42,0.84
184,184,278.83,104.04,111.53,0.67
185,185,114.25,42.63,45.7,0.81
186,186,160.88,60.03,64.35,0.68
187,187,146.09,54.51,58.44,0.78
188,188,78.5,29.29,31.4,0.84
189,189,133.38,49.77,53.35,0.82
190,190,190.47,71.07,76.19,0.8
191,191,245.89,91.75,98.36,0.94
192,192,224.37,83.72,89.75,0.83
193,193,453.75,169.31,181.5,0.77
194,194,209.12,78.03,83.65,0.94
195,195,457.77,170.81,183.11,0.63
196,196,639.8,238.73,255.92,0.71
197,197,207.22,77.32,82.89,0.69
198,198,454.42,169.56,181.77,0.68
199,199,2.84,1.06,1.14,0.82
200,200,125.56,46.85,50.22,0.61
201,201,295.87,110.4,118.35,0.68
202,202,410.36,153.12,164.14,0.67
203,203,216.2,80.67,86.48,0.85
204,204,601.95,224.61,240.78,0.7
205,205,121.91,45.49,48.76,0.79
206,206,121.54,45.35,48.62,0.63
207,207,114.19,42.61,45.68,0.86
208,208,52.85,19.72,21.14,0.76
209,209,175.46,65.47,70.18,0.89
210,210,228.28,85.18,91.31,0.9
211,211,116.77,43.57,46.71,0.69
212,212,117.14,43.71,46.86,0.62
213,213,380.18,141.86,152.07,0.82
214,214,160.13,59.75,64.05,0.79
215,215,37.92,14.15,15.17,0.67
216,216,126.2,47.09,50.48,0.77
217,217,351.37,131.11,140.55,0.7
218,218,405.11,151.16,162.04,0.66
219,219,235.46,87.86,94.18,0.69
220,220,415.29,154.96,166.12,0.7
221,221,148.95,55.58,59.58,0.85
222,222,336.18,125.44,134.47,0.86
223,223,43.26,16.14,17.3,0.95
224,224,143.81,53.66,57.52,0.71
225,225,54.0,20.15,21.6,0.7
226,226,316.03,117.92,126.41,0.84
227,227,334.46,124.8,133.78,0.91
228,228,16.16,6.03,6.46,0.88
229,229,155.55,58.04,62.22,0.71
230,230,394.79,147.31,157.92,0.65
231,231,320.82,119.71,128.33,0.69
232,232,225.23,84.04,90.09,0.68
233,233,147.29,54.96,58.92,0.75
234,234,323.88,120.85,129.55,0.74
235,235,233.24,87.03,93.3,0.61
236,236,208.16,77.67,83.26,0.81
237,237,154.1,57.5,61.64,0.64
238,238,141.13,52.66,56.45,0.92
239,239,257.17,95.96,102.87,0.88
240,240,64.03,23.89,25.61,0.61
241,241,134.32,50.12,53.73,0.81
242,242,263.6,98.36,105.44,0.81
243,243,84.98,31.71,33.99,0.82
244,244,63.97,23.87,25.59,0.8
245,245,24.25,9.05,9.7,0.67
246,246,89.73,33.48,35.89,0.83
247,247,93.61,34.93,37.44,0.9
248,248,148.12,55.27,59.25,0.7
249,249,172.86,64.5,69.14,0.95
250,250,133.81,49.93,53.52,0.69
251,251,64.08,23.91,25.63,0.95
252,252,42.21,15.75,16.88,0.72
253,253,110.5,41.23,44.2,0.74
254,254,1.53,0.57,0.61,0.92
255,255,428.02,159.71,171.21,0.71
256,256,31.62,11.8,12.65,0.82
257,257,56.6,21.12,22.64,0.65
258,258,143.0,53.36,57.2,0.77
259,259,42.05,15.69,16.82,0.63
260,260,61.08,22.79,24.43,0.82
261,261,36.85,13.75,14.74,0.9
262,262,84.31,31.46,33.72,0.74
263,263,396.45,147.93,158.58,0.76
264,264,224.93,83.93,89.97,0.77
265,265,403.13,150.42,161.25,0.81
266,266,195.18,72.83,78.07,0.66
267,267,41.41,15.45,16.56,0.61
268,268,41.57,15.51,16.63,0.69
269,269,24.36,9.09,9.74,0.78
270,270,222.57,83.05,89.03,0.83
271,271,76.11,28.4,30.44,0.68
272,272,135.15,50.43,54.06,0.67
273,273,118.08,44.06,47.23,0.88
274,274,59.66,22.26,23.86,0.6
275,275,84.1,31.38,33.64,0.89
276,276,54.43,20.31,21.77,0.7
277,277,58.0,21.64,23.2,0.95
278,278,134.56,50.21,53.82,0.63
279,279,14.55,5.43,5.82,0.71
280,280,323.26,120.62,129.3,0.66
281,281,50.6,18.88,20.24,0.9
282,282,11.85,4.42,4.74,0.82
283,283,235.49,87.87,94.2,0.68
284,284,60.17,22.45,24.07,0.92
285,285,79.92,29.82,31.97,0.72
286,286,37.79,14.1,15.12,0.72
287,287,51.75,19.31,20.7,0.72
288,288,263.82,98.44,105.53,0.88
289,289,61.29,22.87,24.52,0.77
290,290,674.5,251.68,269.8,0.87
291,291,188.81,70.45,75.52,0.72
292,292,239.14,89.23,95.66,0.81
293,293,231.47,86.37,92.59,0.66
294,294,268.13,100.05,107.25,0.7
295,295,160.4,59.85,64.16,0.9
296,296,109.67,40.92,43.87,0.63
297,297,2.71,1.01,1.08,0.82
298,298,138.8,51.79,55.52,0.85
299,299,3.83,1.43,1.53,0.8
300,300,41.59,15.52,16.64,0.66
301,301,139.6,52.09,55.84,0.81
302,302,380.37,141.93,152.15,0.66
303,303,260.52,97.21,104.21,0.79
304,304,2.65,0.99,1.06,0.79
305,305,145.31,54.22,58.12,0.71
306,306,195.69,73.02,78.28,0.7
307,307,238.9,89.14,95.56,0.8
308,308,380.85,142.11,152.34,0.77
309,309,91.04,33.97,36.42,0.63
310,310,269.66,100.62,107.86,0.79
311,311,131.48,49.06,52.59,0.86
312,312,97.42,36.35,38.97,0.68
313,313,290.08,108.24,116.03,0.68
314,314,128.85,48.08,51.54,0.83
315,315,309.03,115.31,123.61,0.66
316,316,129.47,48.31,51.79,0.94
317,317,422.69,157.72,169.08,0.68
318,318,137.89,51.45,55.16,0.77
319,319,31.52,11.76,12.61,0.7
320,320,202.77,75.66,81.11,0.75
321,321,14.15,5.28,5.66,0.85
322,322,246.83,92.1,98.73,0.64
323,323,524.82,195.83,209.93,0.84
324,324,195.77,73.05,78.31,0.87
325,325,583.81,217.84,233.52,0.86
326,326,250.42,93.44,100.17,0.8
327,327,160.16,59.76,64.06,0.91
328,328,26.08,9.73,10.43,0.72
329,329,172.06,64.2,68.82,0.88
330,330,126.58,47.23,50.63,0.84
331,331,835.14,311.62,334.06,0.72
332,332,154.15,57.52,61.66,0.67
333,333,226.7,84.59,90.68,0.92
334,334,92.86,34.65,37.14,0.94
335,335,288.9,107.8,115.56,0.92
336,336,0.64,0.24,0.26,0.78
337,337,118.62,44.26,47.45,0.7
338,338,458.52,171.09,183.41,0.78
339,339,179.37,66.93,71.75,0.71
340,340,86.81,32.39,34.72,0.87
341,341,114.36,42.67,45.74,0.92
342,342,319.0,119.03,127.6,0.82
343,343,91.76,34.24,36.7,0.75
344,344,27.95,10.43,11.18,0.76
345,345,100.26,37.41,40.1,0.91
346,346,209.04,78.0,83.62,0.75
347,347,165.49,61.75,66.2,0.61
348,348,177.87,66.37,71.15,0.8
349,349,402.56,150.21,161.02,0.86
350,350,40.41,15.08,16.16,0.81
351,351,358.42,133.74,143.37,0.63
352,352,0.21,0.08,0.08,0.66
353,353,53.36,19.91,21.34,0.61
354,354,194.92,72.73,77.97,0.94
355,355,75.04,28.0,30.02,0.87
356,356,158.63,59.19,63.45,0.79
357,357,181.57,67.75,72.63,0.73
358,358,120.79,45.07,48.32,0.75
359,359,222.15,82.89,88.86,0.83
360,360,169.43,63.22,67.77,0.69
361,361,114.25,42.63,45.7,0.83
362,362,119.05,44.42,47.62,0.63
363,363,95.03,35.46,38.01,0.94
364,364,118.59,44.25,47.44,0.75
365,365,113.34,42.29,45.34,0.76
366,366,406.96,151.85,162.78,0.9
367,367,314.9,117.5,125.96,0.86
368,368,108.22,40.38,43.29,0.93
369,369,18.97,7.08,7.59,0.73
370,370,376.27,140.4,150.51,0.82
371,371,43.95,16.4,17.58,0.69
372,372,76.25,28.45,30.5,0.61
373,373,33.66,12.56,13.46,0.83
374,374,380.69,142.05,152.28,0.78
375,375,224.07,83.61,89.63,0.83
376,376,92.11,34.37,36.84,0.87
377,377,271.03,101.13,108.41,0.91
378,378,90.77,33.87,36.31,0.7
379,379,581.48,216.97,232.59,0.95
380,380,191.7,71.53,76.68,0.92
381,381,24.28,9.06,9.71,0.76
382,382,169.05,63.08,67.62,0.91
383,383,22.08,8.24,8.83,0.78
384,384,248.17,92.6,99.27,0.88
385,385,84.47,31.52,33.79,0.86
386,386,199.69,74.51,79.88,0.83
387,387,531.2,198.21,212.48,0.83
388,388,239.32,89.3,95.73,0.74
389,389,177.95,66.4,71.18,0.7
390,390,241.95,90.28,96.78,0.77
391,391,112.83,42.1,45.13,0.7
392,392,186.98,69.77,74.79,0.83
393,393,30.71,11.46,12.28,0.74
394,394,32.45,12.11,12.98,0.81
395,395,59.23,22.1,23.69,0.74
396,396,554.17,206.78,221.67,0.72
397,397,61.13,22.81,24.45,0.76
398,398,287.59,107.31,115.04,0.63
399,399,74.32,27.73,29.73,0.78
400,400,210.54,78.56,84.22,0.72
401,401,472.51,176.31,189.0,0.67
402,402,64.99,24.25,26.0,0.73
403,403,231.1,86.23,92.44,0.87
404,404,308.66,115.17,123.46,0.79
405,405,210.35,78.49,84.14,0.8
406,406,75.28,28.09,30.11,0.88
407,407,6.91,2.58,2.76,0.67
408,408,401.22,149.71,160.49,0.74
409,409,26.77,9.99,10.71,0.61
410,410,94.63,35.31,37.85,0.88
411,411,272.1,101.53,108.84,0.83
412,412,335.11,125.04,134.04,0.73
413,413,133.79,49.92,53.52,0.75
414,414,12.81,4.78,5.12,0.94
415,415,264.65,98.75,105.86,0.67
416,416,226.19,84.4,90.48,0.8
417,417,130.92,48.85,52.37,0.93
418,418,299.22,111.65,119.69,0.68
419,419,33.21,12.39,13.28,0.66
420,420,257.15,95.95,102.86,0.89
421,421,31.06,11.59,12.42,0.74
422,422,215.66,80.47,86.26,0.67
423,423,348.35,129.98,139.34,0.76
424,424,180.58,67.38,72.23,0.95
425,425,127.11,47.43,50.84,0.7
426,426,474.65,177.11,189.86,0.86
427,427,125.02,46.65,50.01,0.63
428,428,265.88,99.21,106.35,0.84
429,429,292.47,109.13,116.99,0.88
430,430,57.35,21.4,22.94,0.76
431,431,128.18,47.83,51.27,0.87
432,432,417.06,155.62,166.82,0.89
433,433,154.64,57.7,61.86,0.74
434,434,126.04,47.03,50.42,0.82
435,435,11.28,4.21,4.51,0.66
436,436,32.43,12.1,12.97,0.94
437,437,135.26,50.47,54.1,0.64
438,438,36.77,13.72,14.71,0.81
439,439,48.86,18.23,19.54,0.77
440,440,224.02,83.59,89.61,0.73
441,441,344.54,128.56,137.82,0.7
442,442,227.21,84.78,90.88,0.81
443,443,92.14,34.38,36.86,0.93
444,444,58.16,21.7,23.26,0.8
445,445,214.02,79.86,85.61,0.68
446,446,73.75,27.52,29.5,0.75
447,447,61.53,22.96,24.61,0.74
448,448,252.21,94.11,100.88,0.8
449,449,217.67,81.22,87.07,0.66
450,450,386.35,144.16,154.54,0.94
451,451,109.16,40.73,43.66,0.7
452,452,132.9,49.59,53.16,0.6
453,453,309.41,115.45,123.76,0.67
454,454,220.67,82.34,88.27,0.78
455,455,32.35,12.07,12.94,0.84
456,456,96.67,36.07,38.67,0.85
457,457,216.92,80.94,86.77,0.89
458,458,43.84,16.36,17.54,0.92
459,459,0.13,0.05,0.05,0.62
460,460,74.69,27.87,29.88,0.79
461,461,290.65,108.45,116.26,0.79
462,462,44.92,16.76,17.97,0.89
463,463,126.39,47.16,50.56,0.8
464,464,232.81,86.87,93.12,0.66
465,465,320.8,119.7,128.32,0.7
466,466,105.24,39.27,42.1,0.72
467,467,434.0,161.94,173.6,0.84
468,468,234.07,87.34,93.63,0.7
469,469,116.47,43.46,46.59,0.71
470,470,207.51,77.43,83.0,0.73
471,471,277.76,103.64,111.1,0.81
472,472,139.28,51.97,55.71,0.77
473,473,190.95,71.25,76.38,0.9
474,474,273.33,101.99,109.33,0.8
475,475,108.97,40.66,43.59,0.83
476,476,160.91,60.04,64.36,0.82
477,477,226.43,84.49,90.57,0.85
478,478,32.24,12.03,12.9,0.89
479,479,135.55,50.58,54.22,0.78
480,480,272.37,101.63,108.95,0.62
481,481,115.72,43.18,46.29,0.64
482,482,125.45,46.81,50.18,0.69
483,483,112.85,42.11,45.14,0.92
484,484,163.75,61.1,65.5,0.84
485,485,58.18,21.71,23.27,0.66
486,486,199.02,74.26,79.61,0.75
487,487,123.31,46.01,49.32,0.9
488,488,3.81,1.42,1.52,0.89
489,489,11.93,4.45,4.77,0.93
490,490,92.25,34.42,36.9,0.74
491,491,40.07,14.95,16.03,0.93
492,492,133.87,49.95,53.55,0.68
493,493,194.06,72.41,77.62,0.75
494,494,68.8,25.67,27.52,0.87
495,495,184.33,68.78,73.73,0.87
496,496,41.92,15.64,16.77,0.83
497,497,27.15,10.13,10.86,0.9
498,498,384.96,143.64,153.98,0.82
499,499,238.12,88.85,95.25,0.77
500,500,101.89,38.02,40.76,0.64
501,501,20.21,7.54,8.08,0.62
502,502,316.51,118.1,126.6,0.76
503,503,164.93,61.54,65.97,0.91
504,504,178.43,66.58,71.37,0.82
505,505,50.63,18.89,20.25,0.63
506,506,234.82,87.62,93.93,0.79
507,507,331.57,123.72,132.63,0.77
508,508,223.16,83.27,89.26,0.89
509,509,287.72,107.36,115.09,0.75
510,510,42.96,16.03,17.18,0.66
511,511,244.52,91.24,97.81,0.95
512,512,73.59,27.46,29.44,0.87
513,513,88.49,33.02,35.4,0.6
514,514,7.4,2.76,2.96,0.94
515,515,664.02,247.77,265.61,0.8
516,516,69.71,26.01,27.88,0.64
517,517,137.7,51.38,55.08,0.74
518,518,310.13,115.72,124.05,0.61
519,519,151.63,56.58,60.65,0.76
520,520,101.28,37.79,40.51,0.66
521,521,540.58,201.71,216.23,0.62
522,522,150.83,56.28,60.33,0.88
523,523,77.0,28.73,30.8,0.62
524,524,117.38,43.8,46.95,0.79
525,525,82.52,30.79,33.01,0.87
526,526,140.54,52.44,56.22,0.89
527,527,81.02,30.23,32.41,0.89
528,528,129.15,48.19,51.66,0.75
529,529,145.63,54.34,58.25,0.65
530,530,92.94,34.68,37.18,0.74
531,531,410.5,153.17,164.2,0.63
532,532,160.99,60.07,64.4,0.87
533,533,301.5,112.5,120.6,0.79
534,534,156.0,58.21,62.4,0.9
535,535,107.44,40.09,42.98,0.77
536,536,212.87,79.43,85.15,0.88
537,537,103.26,38.53,41.3,0.71
538,538,253.1,94.44,101.24,0.63
539,539,206.57,77.08,82.63,0.88
540,540,69.97,26.11,27.99,0.6
541,541,386.03,144.04,154.41,0.8
542,542,256.48,95.7,102.59,0.87
543,543,32.45,12.11,12.98,0.68
544,544,315.38,117.68,126.15,0.65
545,545,503.36,187.82,201.34,0.7
546,546,124.67,46.52,49.87,0.68
547,547,35.13,13.11,14.05,0.66
548,548,544.23,203.07,217.69,0.79
549,549,104.84,39.12,41.94,0.78
550,550,218.42,81.5,87.37,0.81
551,551,322.62,120.38,129.05,0.83
552,552,32.35,12.07,12.94,0.9
553,553,174.49,65.11,69.8,0.69
554,554,64.56,24.09,25.82,0.95
555,555,156.06,58.23,62.42,0.85
556,556,141.61,52.84,56.64,0.77
557,557,161.85,60.39,64.74,0.67
558,558,0.27,0.1,0.11,0.63
559,559,55.29,20.63,22.12,0.83
560,560,67.99,25.37,27.2,0.63
561,561,29.83,11.13,11.93,0.87
562,562,514.02,191.8,205.61,0.77
563,563,19.97,7.45,7.99,0.82
564,564,96.86,36.14,38.74,0.84
565,565,3.7,1.38,1.48,0.87
566,566,190.66,71.14,76.26,0.94
567,567,345.93,129.08,138.37,0.88
568,568,24.87,9.28,9.95,0.92
569,569,103.31,38.55,41.32,0.87
570,570,627.17,234.02,250.87,0.81
571,571,349.18,130.29,139.67,0.9
572,572,131.67,49.13,52.67,0.91
573,573,111.6,41.64,44.64,0.62
574,574,218.42,81.5,87.37,0.61
575,575,230.64,86.06,92.26,0.87
576,576,107.58,40.14,43.03,0.77
577,577,226.84,84.64,90.74,0.79
578,578,214.45,80.02,85.78,0.88
579,579,536.64,200.24,214.66,0.66
580,580,115.86,43.23,46.34,0.88
581,581,310.96,116.03,124.38,0.91
582,582,59.87,22.34,23.95,0.69
583,583,71.4,26.64,28.56,0.83
584,584,445.2,166.12,178.08,0.93
585,585,127.73,47.66,51.09,0.83
586,586,393.21,146.72,157.28,0.67
587,587,76.94,28.71,30.78,0.8
588,588,197.68,73.76,79.07,0.94
589,589,66.09,24.66,26.44,0.92
590,590,339.66,126.74,135.86,0.65
591,591,224.26,83.68,89.7,0.72
592,592,90.37,33.72,36.15,0.62
593,593,214.56,80.06,85.82,0.77
594,594,262.4,97.91,104.96,0.82
595,595,394.52,147.21,157.81,0.64
596,596,181.17,67.6,72.47,0.69
597,597,352.77,131.63,141.11,0.86
598,598,43.07,16.07,17.23,0.87
599,599,102.67,38.31,41.07,0.88
600,600,285.34,106.47,114.14,0.64
601,601,88.65,33.08,35.46,0.79
602,602,166.51,62.13,66.6,0.68
603,603,336.15,125.43,134.46,0.91
604,604,71.02,26.5,28.41,0.69
605,605,51.05,19.05,20.42,0.93
606,606,93.05,34.72,37.22,0.88
607,607,483.98,180.59,193.59,0.76
608,608,530.16,197.82,212.06,0.73
609,609,141.4,52.76,56.56,0.7
610,610,469.48,175.18,187.79,0.92
611,611,53.39,19.92,21.36,0.67
612,612,25.78,9.62,10.31,0.82
613,613,457.21,170.6,182.88,0.75
614,614,285.88,106.67,114.35,0.61
615,615,178.94,66.77,71.58,0.76
616,616,176.18,65.74,70.47,0.85
617,617,82.81,30.9,33.12,0.87
618,618,129.2,48.21,51.68,0.88
619,619,51.3,19.14,20.52,0.68
620,620,27.74,10.35,11.1,0.93
621,621,254.52,94.97,101.81,0.82
622,622,18.97,7.08,7.59,0.71
623,623,32.94,12.29,13.18,0.75
624,624,109.77,40.96,43.91,0.8
625,625,217.78,81.26,87.11,0.67
626,626,33.88,12.64,13.55,0.94
627,627,436.12,162.73,174.45,0.66
628,628,133.57,49.84,53.43,0.73
629,629,270.28,100.85,108.11,0.84
630,630,247.15,92.22,98.86,0.8
631,631,64.75,24.16,25.9,0.7
632,632,96.91,36.16,38.76,0.82
633,633,27.68,10.33,11.07,0.86
634,634,97.28,36.3,38.91,0.6
635,635,95.73,35.72,38.29,0.6
636,636,280.97,104.84,112.39,0.69
637,637,62.2,23.21,24.88,0.84
638,638,397.77,148.42,159.11,0.81
639,639,289.01,107.84,115.6,0.8
640,640,210.92,78.7,84.37,0.68
641,641,420.6,156.94,168.24,0.86
642,642,299.33,111.69,119.73,0.94
643,643,325.73,121.54,130.29,0.75
644,644,11.31,4.22,4.52,0.77
645,645,50.06,18.68,20.02,0.87
646,646,323.77,120.81,129.51,0.84
647,647,264.41,98.66,105.76,0.84
648,648,451.39,168.43,180.56,0.73
649,649,79.54,29.68,31.82,0.79
650,650,26.16,9.76,10.46,0.78
651,651,120.52,44.97,48.21,0.66
652,652,58.5,21.83,23.4,0.75
653,653,317.37,118.42,126.95,0.63
654,654,138.48,51.67,55.39,0.68
655,655,298.23,111.28,119.29,0.71
656,656,31.54,11.77,12.62,0.68
657,657,339.93,126.84,135.97,0.71
658,658,240.32,89.67,96.13,0.92
659,659,177.15,66.1,70.86,0.62
660,660,121.03,45.16,48.41,0.67
661,661,47.68,17.79,19.07,0.76
662,662,132.95,49.61,53.18,0.74
663,663,303.11,113.1,121.24,0.9
664,664,29.0,10.82,11.6,0.61
665,665,25.65,9.57,10.26,0.68
666,666,102.38,38.2,40.95,0.84
667,667,129.52,48.33,51.81,0.68
668,668,265.88,99.21,106.35,0.83
669,669,89.11,33.25,35.64,0.86
670,670,211.18,78.8,84.47,0.89
671,671,58.1,21.68,23.24,0.7
672,672,73.46,27.41,29.38,0.7
673,673,14.34,5.35,5.74,0.73
674,674,235.63,87.92,94.25,0.83
675,675,184.87,68.98,73.95,0.79
676,676,179.0,66.79,71.6,0.66
677,677,153.19,57.16,61.28,0.7
678,678,63.94,23.86,25.58,0.89
679,679,160.37,59.84,64.15,0.68
680,680,308.68,115.18,123.47,0.63
681,681,236.27,88.16,94.51,0.87
682,682,52.53,19.6,21.01,0.63
683,683,427.11,159.37,170.84,0.8
684,684,324.49,121.08,129.8,0.83
685,685,173.91,64.89,69.56,0.94
686,686,243.67,90.92,97.47,0.89
687,687,186.55,69.61,74.62,0.63
688,688,29.83,11.13,11.93,0.7
689,689,102.05,38.08,40.82,0.89
690,690,125.75,46.92,50.3,0.82
691,691,164.74,61.47,65.9,0.9
692,692,159.92,59.67,63.97,0.75
693,693,0.24,0.09,0.1,0.85
694,694,202.02,75.38,80.81,0.65
695,695,627.17,234.02,250.87,0.76
