port_operation_id,port_id,vessel_id,arrival_time,departure_time,waiting_hours,turnaround_hours,congestion_level,cargo_handled_tons
53,6,VSL-8119,2025-08-20,2025-08-20,2.29,32.26,3,55.15
54,7,VSL-4114,2025-09-21,2025-09-21,0.87,19.11,2,48.51
55,1,VSL-4228,2024-01-04,2024-01-04,0.67,46.24,4,28.55
56,8,VSL-3041,2025-11-12,2025-11-12,2.1,30.95,2,30.15
57,5,VSL-3085,2024-11-14,2024-11-14,0.77,20.86,2,36.82
58,8,VSL-7653,2025-11-25,2025-11-25,0.65,12.58,1,50.08
59,1,VSL-6279,2024-10-27,2024-10-27,5.05,30.46,3,38.51
60,9,VSL-3780,2025-11-24,2025-11-24,2.64,25.96,2,41.57
61,2,VSL-4848,2025-06-12,2025-06-12,0.12,25.74,1,72.86
62,5,VSL-2193,2024-07-23,2024-07-23,0.09,45.74,5,65.04
63,7,VSL-3417,2024-07-19,2024-07-19,0.84,12.47,3,78.1
64,1,VSL-9486,2026-03-10,2026-03-10,0.51,44.27,5,77.85
65,1,VSL-8612,2024-09-17,2024-09-17,0.46,11.59,3,30.19
66,9,VSL-9270,2025-09-02,2025-09-02,1.92,9.96,1,38.67
67,10,VSL-5050,2024-06-13,2024-06-13,1.28,34.49,1,18.99
68,5,VSL-5681,2025-05-14,2025-05-14,0.3,38.72,5,51.37
69,6,VSL-7275,2024-11-24,2024-11-24,1.12,35.89,3,31.61
70,3,VSL-2020,2024-03-14,2024-03-14,0.58,24.35,1,81.0
71,8,VSL-7232,2026-02-28,2026-02-28,1.29,18.42,5,34.33
72,1,VSL-7865,2024-11-07,2024-11-07,3.13,13.46,4,43.56
73,10,VSL-7371,2024-08-16,2024-08-16,2.18,45.16,3,54.55
74,12,VSL-9751,2026-01-13,2026-01-13,3.64,38.09,5,76.14
75,8,VSL-8564,2025-08-01,2025-08-01,0.31,37.87,5,55.2
76,1,VSL-7211,2025-01-24,2025-01-24,0.94,10.34,2,65.64
77,8,VSL-6733,2024-03-25,2024-03-25,2.39,8.77,1,60.44
78,12,VSL-5051,2026-03-16,2026-03-16,0.96,42.11,5,55.94
79,1,VSL-4571,2024-06-09,2024-06-09,2.32,27.73,3,36.4
80,5,VSL-3683,2024-06-21,2024-06-21,4.28,37.48,5,54.65
81,2,VSL-7149,2024-02-02,2024-02-02,1.27,37.38,5,55.86
82,4,VSL-5941,2025-08-30,2025-08-30,4.29,12.04,3,35.71
83,10,VSL-8018,2026-03-28,2026-03-28,0.45,36.49,3,70.99
84,6,VSL-9031,2025-06-03,2025-06-03,0.37,12.99,2,76.5
85,8,VSL-3885,2025-10-15,2025-10-15,2.14,28.49,4,34.98
86,9,VSL-8136,2025-09-26,2025-09-26,2.83,19.39,3,27.39
87,10,VSL-8385,2024-11-29,2024-11-29,1.88,43.66,2,58.49
88,9,VSL-6325,2025-09-18,2025-09-18,4.68,33.43,5,68.81
89,9,VSL-5526,2024-12-30,2024-12-30,0.05,28.19,5,22.6
90,1,VSL-4937,2024-07-24,2024-07-24,0.14,47.57,3,34.56
91,8,VSL-4986,2025-04-04,2025-04-04,11.64,10.87,1,55.53
92,12,VSL-6419,2025-01-16,2025-01-16,1.22,42.17,2,66.54
93,9,VSL-2958,2024-11-11,2024-11-11,0.25,29.2,5,44.71
94,9,VSL-9595,2024-07-16,2024-07-16,0.45,26.4,5,104.4
95,5,VSL-9751,2024-07-20,2024-07-20,0.45,28.27,1,28.58
96,6,VSL-9042,2024-03-04,2024-03-04,1.06,22.54,4,59.65
97,1,VSL-1841,2024-10-27,2024-10-27,0.35,33.71,4,45.53
98,9,VSL-1878,2024-03-08,2024-03-08,0.15,45.22,2,64.28
99,4,VSL-7818,2024-11-14,2024-11-14,0.12,23.28,5,59.46
100,11,VSL-5871,2024-08-28,2024-08-28,0.68,29.17,3,48.54
101,7,VSL-4404,2025-08-06,2025-08-06,0.05,24.44,2,70.91
102,4,VSL-3564,2025-11-08,2025-11-08,2.8,39.9,4,43.16
103,8,VSL-5632,2025-12-07,2025-12-07,5.44,10.55,1,64.2
104,8,VSL-4241,2025-12-07,2025-12-07,1.62,22.86,2,51.85
105,2,VSL-2169,2024-08-20,2024-08-20,2.08,40.94,1,54.62
106,4,VSL-3037,2025-09-02,2025-09-02,1.83,15.62,1,33.82
107,5,VSL-1653,2024-10-07,2024-10-07,0.78,43.49,4,57.16
108,6,VSL-1339,2024-09-16,2024-09-16,2.23,31.03,3,61.22
109,5,VSL-8245,2024-02-14,2024-02-14,0.3,20.34,4,22.45
110,3,VSL-6700,2025-03-26,2025-03-26,0.78,7.09,3,31.24
111,6,VSL-9117,2025-11-21,2025-11-21,5.3,19.93,2,60.3
112,12,VSL-6296,2026-02-21,2026-02-21,0.22,26.75,2,127.05
113,8,VSL-4073,2024-01-05,2024-01-05,1.19,41.7,1,69.08
114,6,VSL-5375,2026-02-19,2026-02-19,3.22,38.83,1,63.03
115,3,VSL-4920,2025-03-25,2025-03-25,5.38,21.73,4,34.54
116,3,VSL-2858,2025-07-20,2025-07-20,1.78,34.12,3,45.26
117,2,VSL-7807,2025-05-26,2025-05-26,1.28,16.24,2,96.29
118,9,VSL-9327,2025-04-13,2025-04-13,4.59,43.83,2,12.65
119,3,VSL-9318,2024-10-10,2024-10-10,2.92,20.54,4,32.14
120,1,VSL-9022,2026-01-15,2026-01-15,0.01,26.63,2,43.3
121,9,VSL-8460,2025-05-11,2025-05-11,1.49,26.49,5,35.39
122,4,VSL-6213,2025-08-09,2025-08-09,0.2,39.09,5,54.33
123,8,VSL-3492,2025-02-01,2025-02-01,1.52,15.32,2,92.88
124,1,VSL-8213,2025-06-01,2025-06-01,6.27,18.69,2,62.68
125,10,VSL-3529,2024-01-27,2024-01-27,0.96,22.86,2,9.5
126,9,VSL-6383,2024-12-16,2024-12-16,1.03,32.99,1,53.73
127,9,VSL-9864,2024-11-21,2024-11-21,0.67,43.94,4,34.15
128,11,VSL-2480,2024-08-29,2024-08-29,1.7,42.96,1,47.71
129,2,VSL-6314,2025-04-04,2025-04-04,4.99,38.29,5,34.56
130,6,VSL-3950,2025-01-19,2025-01-19,0.56,19.85,4,83.23
131,4,VSL-3344,2025-09-17,2025-09-17,0.52,25.19,4,56.36
132,9,VSL-5712,2025-04-18,2025-04-18,1.43,20.22,3,17.76
133,9,VSL-7951,2024-03-17,2024-03-17,4.12,22.61,5,92.44
134,5,VSL-4886,2024-11-06,2024-11-06,2.44,41.02,3,70.65
135,11,VSL-7484,2025-08-12,2025-08-12,0.35,36.03,5,75.34
136,1,VSL-9138,2025-12-04,2025-12-04,0.35,38.08,5,35.85
137,4,VSL-3240,2024-12-27,2024-12-27,1.68,27.6,1,45.25
138,2,VSL-3153,2024-11-13,2024-11-13,1.51,22.86,3,87.44
139,6,VSL-6994,2026-02-06,2026-02-06,0.1,29.21,5,24.1
140,10,VSL-5835,2024-06-18,2024-06-18,0.05,44.33,1,47.9
141,6,VSL-7511,2025-04-25,2025-04-25,0.57,33.25,4,80.86
142,6,VSL-7038,2026-03-21,2026-03-21,1.64,31.9,4,76.47
143,12,VSL-4830,2025-08-23,2025-08-23,0.78,24.88,3,73.26
144,1,VSL-8606,2025-07-31,2025-07-31,2.76,22.43,5,50.2
145,5,VSL-9071,2024-04-30,2024-04-30,0.67,7.31,1,53.98
146,3,VSL-9850,2025-07-05,2025-07-05,1.29,35.17,2,38.0
147,11,VSL-5583,2025-03-02,2025-03-02,0.68,42.36,3,52.27
148,7,VSL-7018,2025-03-31,2025-03-31,0.25,21.68,2,63.24
149,12,VSL-8450,2024-03-06,2024-03-06,2.69,46.72,3,92.66
150,12,VSL-6464,2025-10-27,2025-10-27,0.95,37.14,2,10.96
151,3,VSL-4538,2024-07-30,2024-07-30,2.36,45.35,1,55.62
152,7,VSL-3370,2026-03-19,2026-03-19,1.39,30.78,3,37.55
153,10,VSL-1243,2026-04-02,2026-04-02,0.35,17.2,5,37.56
154,4,VSL-7897,2024-11-30,2024-11-30,2.0,29.52,1,42.89
155,2,VSL-8405,2025-05-04,2025-05-04,1.18,35.42,2,57.24
156,4,VSL-5941,2024-02-18,2024-02-18,0.56,35.37,2,61.63
157,12,VSL-2768,2024-03-04,2024-03-04,0.42,26.78,1,61.03
158,9,VSL-9984,2024-03-27,2024-03-27,0.24,27.72,1,35.8
159,6,VSL-2624,2025-09-16,2025-09-16,3.44,26.32,4,14.25
160,2,VSL-7779,2026-01-12,2026-01-12,0.79,11.79,1,25.59
161,9,VSL-5176,2025-03-09,2025-03-09,0.89,41.99,4,45.65
162,3,VSL-7105,2024-03-13,2024-03-13,0.99,13.77,4,71.98
163,10,VSL-7730,2025-08-27,2025-08-27,4.39,44.98,2,76.11
164,12,VSL-2697,2026-01-09,2026-01-09,6.16,27.79,2,50.42
165,9,VSL-7022,2024-06-13,2024-06-13,1.65,18.75,1,56.48
166,6,VSL-1430,2024-08-28,2024-08-28,0.82,27.64,2,47.4
167,12,VSL-6567,2024-02-01,2024-02-01,0.35,46.42,4,14.16
168,1,VSL-1502,2024-05-27,2024-05-27,2.31,7.96,2,41.06
169,10,VSL-6314,2025-01-23,2025-01-23,0.6,18.61,3,65.41
170,11,VSL-2336,2024-02-27,2024-02-27,0.02,47.34,1,63.34
171,9,VSL-9394,2025-05-13,2025-05-13,0.66,8.17,4,36.02
172,7,VSL-6053,2024-04-25,2024-04-25,4.18,10.64,2,49.82
173,5,VSL-3248,2025-09-06,2025-09-06,1.22,21.31,2,43.82
174,6,VSL-7229,2024-05-03,2024-05-03,0.16,7.37,4,66.08
175,4,VSL-1693,2025-07-30,2025-07-30,0.63,21.11,3,33.56
176,1,VSL-7843,2024-03-21,2024-03-21,2.75,36.42,5,54.87
177,2,VSL-8538,2024-01-25,2024-01-25,1.25,14.83,3,40.58
178,6,VSL-9584,2025-04-04,2025-04-04,3.69,33.27,1,54.64
179,8,VSL-9363,2026-02-03,2026-02-03,0.86,42.58,2,73.09
180,2,VSL-3419,2025-06-14,2025-06-14,3.41,6.03,2,40.45
181,2,VSL-2234,2024-10-01,2024-10-01,4.06,28.24,3,36.72
182,12,VSL-6295,2025-04-21,2025-04-21,5.16,38.37,4,77.2
183,6,VSL-5500,2025-03-30,2025-03-30,0.32,20.33,5,9.26
184,1,VSL-7041,2025-06-10,2025-06-10,0.75,35.52,3,81.4
185,2,VSL-1672,2025-09-22,2025-09-22,1.55,17.36,2,43.95
186,11,VSL-8381,2024-11-26,2024-11-26,2.87,33.46,2,49.91
187,7,VSL-8199,2025-06-01,2025-06-01,3.15,37.38,3,56.45
188,10,VSL-6543,2024-06-15,2024-06-15,1.9,12.97,4,33.46
189,10,VSL-7333,2026-03-21,2026-03-21,0.43,39.07,5,47.82
190,6,VSL-6731,2024-06-03,2024-06-03,3.88,27.09,5,58.03
191,12,VSL-7171,2024-05-18,2024-05-18,8.71,18.4,3,54.48
192,6,VSL-9624,2025-11-18,2025-11-18,2.63,34.13,2,50.25
193,12,VSL-4509,2025-06-14,2025-06-14,2.74,23.47,2,95.52
194,9,VSL-2657,2024-08-22,2024-08-22,0.56,23.0,2,58.12
195,10,VSL-7172,2024-02-09,2024-02-09,0.42,10.7,3,74.01
196,4,VSL-8170,2025-12-16,2025-12-16,2.31,47.4,4,86.32
197,8,VSL-8355,2025-11-24,2025-11-24,2.2,11.65,5,47.78
198,10,VSL-4178,2024-11-14,2024-11-14,1.47,31.37,2,69.53
199,12,VSL-9641,2025-03-28,2025-03-28,2.66,38.57,5,7.52
200,3,VSL-8873,2026-04-02,2026-04-02,0.44,19.75,2,39.48
201,10,VSL-3626,2025-12-30,2025-12-30,1.57,6.19,3,56.84
202,9,VSL-8391,2024-05-31,2024-05-31,0.44,46.2,5,87.52
203,1,VSL-2337,2024-02-27,2024-02-27,0.88,37.31,5,64.84
204,4,VSL-3392,2024-11-23,2024-11-23,1.28,47.96,1,79.53
205,1,VSL-8349,2025-05-06,2025-05-06,4.63,18.04,3,48.53
206,1,VSL-9647,2024-01-24,2024-01-24,3.25,29.19,3,44.36
207,2,VSL-8489,2024-09-13,2024-09-13,0.73,27.64,2,55.91
208,3,VSL-3352,2025-09-04,2025-09-04,0.81,13.59,5,28.05
209,8,VSL-2402,2025-10-01,2025-10-01,1.26,23.85,1,55.51
210,6,VSL-1333,2025-06-23,2025-06-23,0.76,31.99,5,55.57
211,9,VSL-6850,2025-10-13,2025-10-13,0.27,46.88,3,47.83
212,7,VSL-6447,2026-01-26,2026-01-26,0.48,31.73,3,48.89
213,1,VSL-8612,2025-07-18,2025-07-18,1.03,6.41,4,80.32
214,8,VSL-5807,2024-05-23,2024-05-23,0.48,29.15,3,56.25
215,1,VSL-9897,2024-02-13,2024-02-13,0.86,41.13,5,28.65
216,5,VSL-1783,2026-02-19,2026-02-19,2.24,12.58,2,47.15
217,6,VSL-8204,2024-05-08,2024-05-08,5.47,16.14,4,71.21
218,6,VSL-5369,2025-05-24,2025-05-24,0.13,26.42,5,80.83
219,8,VSL-6262,2025-03-17,2025-03-17,1.15,26.62,3,54.85
220,3,VSL-3730,2025-11-11,2025-11-11,0.15,18.47,3,90.95
221,8,VSL-8126,2025-04-04,2025-04-04,5.1,39.42,2,53.4
222,12,VSL-3621,2024-03-19,2024-03-19,0.32,18.1,2,73.06
223,4,VSL-7001,2025-12-01,2025-12-01,2.75,42.03,4,29.59
224,8,VSL-7095,2024-02-04,2024-02-04,0.3,31.06,3,44.62
225,2,VSL-5089,2024-05-22,2024-05-22,1.16,26.4,3,30.7
226,1,VSL-5264,2025-05-27,2025-05-27,3.15,30.91,2,63.72
227,8,VSL-3009,2025-09-19,2025-09-19,1.63,21.97,3,71.17
228,2,VSL-6236,2024-06-26,2024-06-26,0.78,36.64,3,14.83
229,6,VSL-3852,2025-07-18,2025-07-18,4.93,7.07,3,44.61
230,10,VSL-9094,2024-05-08,2024-05-08,1.29,29.81,1,64.35
231,7,VSL-2412,2025-08-10,2025-08-10,0.67,9.7,2,69.63
232,6,VSL-2208,2026-01-12,2026-01-12,0.37,35.7,1,56.61
233,7,VSL-3981,2025-04-06,2025-04-06,0.49,22.7,3,49.71
234,8,VSL-3653,2024-02-27,2024-02-27,0.03,13.15,2,65.93
235,4,VSL-5496,2025-06-16,2025-06-16,3.39,28.11,3,49.88
236,12,VSL-3526,2025-09-22,2025-09-22,0.21,9.48,2,58.06
237,12,VSL-1674,2026-01-10,2026-01-10,5.07,21.61,5,47.54
238,3,VSL-7825,2025-10-19,2025-10-19,2.91,24.34,4,48.49
239,12,VSL-5949,2025-05-25,2025-05-25,0.26,28.06,5,57.33
240,4,VSL-7809,2024-11-01,2024-11-01,0.21,42.25,2,31.2
241,9,VSL-6658,2024-12-15,2024-12-15,0.1,35.4,1,48.75
242,3,VSL-5382,2025-06-14,2025-06-14,7.59,43.2,3,69.1
243,4,VSL-7850,2024-04-10,2024-04-10,4.74,16.73,3,39.39
244,3,VSL-9433,2025-08-15,2025-08-15,1.26,15.72,1,34.14
245,9,VSL-4944,2025-05-25,2025-05-25,2.33,33.53,3,21.32
246,11,VSL-8710,2024-02-20,2024-02-20,0.7,23.2,2,46.17
247,10,VSL-7606,2024-04-23,2024-04-23,0.96,35.3,4,36.01
248,1,VSL-2204,2024-02-28,2024-02-28,0.04,44.86,5,54.28
249,10,VSL-2946,2026-02-28,2026-02-28,0.3,19.24,1,47.75
250,2,VSL-3363,2025-01-21,2025-01-21,0.1,24.45,5,45.58
251,11,VSL-6456,2025-02-16,2025-02-16,2.67,38.94,2,39.05
252,10,VSL-6218,2024-06-02,2024-06-02,0.9,22.04,1,25.44
253,8,VSL-9351,2026-01-29,2026-01-29,0.83,15.23,3,37.47
254,8,VSL-2795,2024-11-06,2024-11-06,2.51,43.53,2,6.16
255,11,VSL-8775,2026-03-27,2026-03-27,1.04,36.26,2,67.03
256,12,VSL-9589,2025-08-20,2025-08-20,1.34,11.39,1,30.24
257,10,VSL-2800,2024-06-02,2024-06-02,1.43,17.22,3,30.55
258,1,VSL-9221,2024-11-18,2024-11-18,2.21,24.87,1,51.59
259,8,VSL-8837,2025-12-25,2025-12-25,2.26,26.21,2,33.79
260,7,VSL-5331,2024-06-27,2024-06-27,2.86,47.88,1,31.91
261,8,VSL-5876,2024-09-10,2024-09-10,3.94,35.7,1,28.77
262,4,VSL-5480,2024-11-21,2024-11-21,0.56,29.93,2,36.91
263,2,VSL-6654,2025-11-25,2025-11-25,2.01,36.76,4,71.11
264,6,VSL-5201,2024-10-23,2024-10-23,0.43,27.71,1,63.07
265,8,VSL-5450,2024-07-27,2024-07-27,1.24,17.03,3,80.46
266,2,VSL-9700,2026-01-29,2026-01-29,1.55,44.18,1,60.78
267,12,VSL-3252,2024-02-24,2024-02-24,2.93,29.43,3,32.49
268,10,VSL-4267,2025-02-23,2025-02-23,2.62,39.13,5,22.34
269,7,VSL-4804,2025-10-25,2025-10-25,2.57,42.15,1,22.03
270,1,VSL-7504,2025-03-04,2025-03-04,3.0,40.77,5,61.26
271,3,VSL-6489,2024-02-09,2024-02-09,1.46,27.13,1,42.36
272,9,VSL-8668,2025-06-21,2025-06-21,0.89,26.72,1,41.73
273,4,VSL-4050,2024-12-10,2024-12-10,2.39,19.06,2,50.97
274,7,VSL-7643,2025-08-05,2025-08-05,0.51,43.0,2,33.38
275,10,VSL-8822,2024-04-10,2024-04-10,0.06,45.26,4,45.22
276,4,VSL-6400,2024-09-30,2024-09-30,3.8,33.67,2,31.85
277,11,VSL-2936,2024-01-17,2024-01-17,2.85,31.19,1,35.52
278,5,VSL-6095,2025-02-22,2025-02-22,1.7,33.25,1,39.35
279,2,VSL-3509,2025-01-13,2025-01-13,0.01,41.05,4,16.61
280,11,VSL-4578,2025-03-05,2025-03-05,3.39,26.43,1,60.87
281,12,VSL-2279,2026-03-18,2026-03-18,0.54,20.04,1,34.73
282,2,VSL-3695,2025-07-16,2025-07-16,1.11,12.68,4,13.9
283,10,VSL-9361,2024-04-30,2024-04-30,1.87,12.38,4,55.19
284,1,VSL-8575,2024-05-16,2024-05-16,2.3,29.68,4,31.91
285,5,VSL-2196,2025-02-11,2025-02-11,3.61,22.72,5,48.68
286,8,VSL-2130,2025-12-20,2025-12-20,4.73,33.42,4,25.78
287,1,VSL-7887,2025-02-23,2025-02-23,0.0,24.37,5,37.96
288,8,VSL-9835,2025-01-24,2025-01-24,6.82,46.35,5,65.21
289,12,VSL-4648,2024-05-05,2024-05-05,1.7,33.81,4,35.53
290,2,VSL-4762,2025-04-20,2025-04-20,0.54,19.49,4,98.68
291,9,VSL-2848,2024-06-08,2024-06-08,1.01,23.37,4,53.39
292,12,VSL-4376,2025-09-22,2025-09-22,2.45,9.2,4,51.79
293,3,VSL-5009,2024-02-05,2024-02-05,0.09,27.86,4,59.76
294,1,VSL-1924,2025-03-26,2025-03-26,1.73,22.27,2,81.6
295,10,VSL-6253,2024-08-28,2024-08-28,2.75,13.07,5,43.63
296,6,VSL-3869,2025-11-12,2025-11-12,9.41,20.72,3,43.62
297,12,VSL-7244,2025-07-26,2025-07-26,0.81,22.52,1,5.84
298,6,VSL-8758,2025-02-23,2025-02-23,3.62,15.25,3,57.22
299,5,VSL-7761,2025-12-30,2025-12-30,1.22,17.17,5,9.24
300,10,VSL-2295,2024-05-18,2024-05-18,0.09,21.42,2,29.84
301,6,VSL-1647,2025-07-03,2025-07-03,0.16,46.75,4,50.37
302,5,VSL-6455,2026-01-12,2026-01-12,0.3,47.35,4,83.53
303,1,VSL-8846,2024-07-19,2024-07-19,1.23,12.96,5,66.59
304,11,VSL-7236,2025-02-12,2025-02-12,0.62,22.26,4,5.78
305,10,VSL-2615,2024-11-12,2024-11-12,2.27,35.97,2,53.3
306,8,VSL-4625,2024-07-28,2024-07-28,0.49,14.29,3,61.38
307,3,VSL-5836,2024-09-25,2024-09-25,4.89,24.99,5,60.19
308,5,VSL-6530,2024-08-25,2024-08-25,0.89,32.3,4,74.95
309,9,VSL-9954,2025-04-22,2025-04-22,1.59,43.57,2,40.25
310,3,VSL-2217,2025-10-20,2025-10-20,0.35,24.96,5,58.08
311,1,VSL-3474,2025-03-02,2025-03-02,0.45,10.48,1,51.43
312,5,VSL-8916,2025-04-15,2025-04-15,0.68,8.84,1,40.45
313,8,VSL-5501,2024-01-13,2024-01-13,1.85,41.76,3,70.75
314,5,VSL-3937,2025-05-30,2025-05-30,0.72,32.58,2,39.8
315,3,VSL-6807,2024-06-02,2024-06-02,0.28,15.86,5,75.74
316,8,VSL-4700,2025-01-18,2025-01-18,2.25,44.62,4,41.11
317,12,VSL-7640,2025-11-01,2025-11-01,0.04,33.0,1,69.28
318,8,VSL-9189,2025-05-05,2025-05-05,2.44,31.09,5,69.47
319,12,VSL-1697,2025-08-05,2025-08-05,1.12,47.5,5,17.36
320,5,VSL-5593,2025-05-02,2025-05-02,0.64,25.59,1,55.62
321,11,VSL-3362,2024-07-09,2024-07-09,2.24,6.0,4,14.43
322,7,VSL-7375,2024-11-10,2024-11-10,0.9,22.5,1,79.92
323,9,VSL-2284,2025-01-30,2025-01-30,0.02,7.1,2,98.92
324,6,VSL-7499,2024-04-16,2024-04-16,8.95,10.58,3,52.58
325,1,VSL-7150,2026-03-21,2026-03-21,0.54,11.82,3,85.64
326,3,VSL-5037,2025-11-14,2025-11-14,1.44,36.91,3,61.81
327,2,VSL-7383,2024-10-04,2024-10-04,0.16,30.61,5,55.0
328,7,VSL-5419,2024-04-05,2024-04-05,0.87,26.6,4,27.2
329,4,VSL-2692,2024-07-11,2024-07-11,0.62,42.28,4,53.68
330,3,VSL-7311,2025-07-28,2025-07-28,1.2,12.74,1,52.0
331,6,VSL-4977,2025-02-02,2025-02-02,3.14,37.58,1,100.77
332,9,VSL-9079,2025-12-03,2025-12-03,1.33,36.31,4,60.48
333,2,VSL-6916,2025-03-22,2025-03-22,1.84,12.92,5,71.42
334,4,VSL-1110,2025-09-01,2025-09-01,14.55,38.44,5,38.34
335,6,VSL-3230,2025-01-25,2025-01-25,2.2,40.91,2,67.04
336,7,VSL-6228,2025-12-19,2025-12-19,5.27,30.27,1,3.59
337,12,VSL-7437,2025-08-13,2025-08-13,1.78,6.99,3,43.28
338,2,VSL-1440,2024-07-24,2024-07-24,1.07,27.37,5,83.38
339,8,VSL-7703,2025-03-25,2025-03-25,0.53,21.1,5,45.09
340,8,VSL-7932,2025-10-12,2025-10-12,0.91,21.45,3,44.55
341,2,VSL-7853,2025-09-05,2025-09-05,6.24,30.68,1,45.38
342,1,VSL-2392,2025-12-21,2025-12-21,0.75,18.8,5,63.92
343,5,VSL-7547,2024-06-22,2024-06-22,3.75,32.95,5,44.62
344,8,VSL-4621,2024-01-28,2024-01-28,3.81,33.03,3,27.87
345,6,VSL-6651,2025-04-21,2025-04-21,4.92,22.89,2,36.45
346,9,VSL-3321,2024-11-02,2024-11-02,3.7,13.39,2,52.99
347,5,VSL-2599,2025-04-12,2025-04-12,2.21,21.28,5,47.7
348,9,VSL-6620,2024-03-10,2024-03-10,1.49,36.93,3,53.1
349,2,VSL-7985,2026-01-29,2026-01-29,1.66,36.66,4,101.4
350,4,VSL-1478,2025-10-07,2025-10-07,0.07,22.79,2,27.86
351,10,VSL-4371,2025-04-09,2025-04-09,6.17,37.99,4,77.77
352,2,VSL-4228,2024-04-15,2024-04-15,1.32,35.76,2,1.0
353,2,VSL-7367,2025-11-18,2025-11-18,0.05,18.29,1,26.45
354,7,VSL-5873,2024-04-27,2024-04-27,4.67,26.85,4,54.07
355,11,VSL-3999,2025-11-24,2025-11-24,6.1,17.13,4,47.0
