shipment_id,vessel_id,origin_port_id,destination_port_id,corridor_id,cargo_type_id,shipment_date,arrival_date,cargo_weight_tons,distance_km,revenue_eur,fuel_consumption_l,delay_hours,on_time_flag
94,VSL-9595,12,9,5,2,2024-07-15,2024-07-16,104.4,1269.91,5473.98,196.77,0.0,1
95,VSL-9751,10,5,5,1,2024-07-17,2024-07-20,28.58,370.47,1503.09,14.41,0.0,1
96,VSL-9042,3,6,5,1,2024-02-25,2024-03-04,59.65,926.58,3167.82,93.82,0.0,1
97,VSL-1841,2,1,3,5,2024-10-18,2024-10-27,45.53,669.02,2410.3,43.88,0.0,1
98,VSL-1878,5,9,5,1,2024-03-07,2024-03-08,64.28,900.37,3394.07,62.16,0.0,1
99,VSL-7818,3,4,5,5,2024-11-07,2024-11-14,59.46,645.25,3102.05,47.89,0.0,1
100,VSL-5871,10,11,5,5,2024-08-19,2024-08-28,48.54,861.92,2599.38,57.75,9.59,0
101,VSL-4404,10,7,1,3,2025-08-05,2025-08-06,70.91,1149.47,3775.39,131.2,0.0,1
102,VSL-3564,11,4,5,3,2025-11-07,2025-11-08,43.16,466.64,2251.33,24.97,0.0,1
103,VSL-5632,1,8,1,4,2025-12-06,2025-12-07,64.2,1023.23,3414.65,84.82,0.0,1
104,VSL-4241,12,8,5,1,2025-12-04,2025-12-07,51.85,639.53,2720.41,41.93,0.0,1
105,VSL-2169,7,2,4,5,2024-08-18,2024-08-20,54.62,899.94,2910.99,93.81,23.05,0
106,VSL-3037,1,4,1,3,2025-09-01,2025-09-02,33.82,591.5,1809.3,31.39,0.0,1
107,VSL-1653,8,5,5,4,2024-10-05,2024-10-07,57.16,857.67,3029.53,73.23,0.0,1
108,VSL-1339,7,6,1,5,2024-09-13,2024-09-16,61.22,628.03,3186.61,47.25,0.0,1
109,VSL-8245,11,5,2,5,2024-02-11,2024-02-14,22.45,395.82,1201.66,10.44,0.0,1
110,VSL-6700,5,3,5,5,2025-03-22,2025-03-26,31.24,510.71,1664.14,23.8,0.0,1
111,VSL-9117,7,6,1,3,2025-11-17,2025-11-21,60.3,666.07,3148.21,46.62,0.0,1
112,VSL-6296,5,12,2,4,2026-02-17,2026-02-21,127.05,1969.4,6746.38,364.02,0.0,1
113,VSL-4073,2,8,4,5,2024-01-02,2024-01-05,69.08,1145.11,3683.02,122.03,0.0,1
114,VSL-5375,9,6,1,5,2026-02-13,2026-02-19,63.03,944.5,3340.4,85.85,0.0,1
115,VSL-4920,9,3,5,3,2025-03-24,2025-03-25,34.54,649.64,1856.93,33.31,0.0,1
116,VSL-2858,12,3,5,3,2025-07-18,2025-07-20,45.26,458.79,2354.76,29.24,0.0,1
117,VSL-7807,8,2,4,2,2025-05-25,2025-05-26,96.29,1860.95,5186.69,231.49,0.0,1
118,VSL-9327,8,9,1,2,2025-04-12,2025-04-13,12.65,196.24,671.75,3.43,4.47,0
119,VSL-9318,12,3,5,1,2024-10-09,2024-10-10,32.14,569.74,1720.95,33.96,0.0,1
120,VSL-9022,5,1,3,3,2026-01-13,2026-01-15,43.3,562.27,2277.45,38.64,7.35,0
121,VSL-8460,3,9,5,5,2025-05-10,2025-05-11,35.39,476.04,1864.71,26.15,0.0,1
122,VSL-6213,6,4,1,2,2025-08-08,2025-08-09,54.33,751.37,2866.77,75.77,0.0,1
123,VSL-3492,12,8,5,4,2025-01-30,2025-02-01,92.88,1846.84,5013.37,307.46,0.0,1
124,VSL-8213,8,1,1,2,2025-05-29,2025-06-01,62.68,1231.88,3380.38,102.85,0.0,1
125,VSL-3529,2,10,4,4,2024-01-16,2024-01-27,9.5,163.63,507.73,2.19,0.0,1
126,VSL-6383,2,9,4,3,2024-12-12,2024-12-16,53.73,872.18,2860.94,65.49,0.0,1
127,VSL-9864,11,9,5,4,2024-11-20,2024-11-21,34.15,555.55,1818.61,35.81,0.0,1
128,VSL-2480,1,11,3,1,2024-08-28,2024-08-29,47.71,778.23,2541.15,71.32,16.44,0
129,VSL-6314,7,2,4,1,2025-03-30,2025-04-04,34.56,403.1,1808.62,18.1,0.0,1
130,VSL-3950,1,6,1,3,2025-01-18,2025-01-19,83.23,1190.76,4399.65,123.31,0.0,1
131,VSL-3344,3,4,5,1,2025-09-16,2025-09-17,56.36,1054.41,3028.88,96.25,0.0,1
132,VSL-5712,4,9,1,3,2025-04-15,2025-04-18,17.76,222.95,932.59,4.0,5.4,0
133,VSL-7951,11,9,5,2,2024-03-16,2024-03-17,92.44,1332.74,4888.55,165.77,0.0,1
134,VSL-4886,12,5,2,4,2024-11-05,2024-11-06,70.65,847.25,3701.95,82.89,0.0,1
135,VSL-7484,7,11,5,3,2025-08-11,2025-08-12,75.34,976.31,3962.26,124.99,0.0,1
136,VSL-9138,5,1,3,5,2025-12-03,2025-12-04,35.85,637.52,1920.0,45.11,0.62,0
137,VSL-3240,5,4,5,5,2024-12-26,2024-12-27,45.25,551.6,2372.82,29.71,0.0,1
138,VSL-3153,11,2,4,1,2024-11-12,2024-11-13,87.44,1563.96,4684.79,141.32,0.0,1
139,VSL-6994,2,6,4,3,2026-02-04,2026-02-06,24.1,341.14,1273.23,9.87,0.0,1
140,VSL-5835,9,10,1,3,2024-06-17,2024-06-18,47.9,602.09,2515.42,52.62,0.0,1
141,VSL-7511,12,6,5,1,2025-04-24,2025-04-25,80.86,1587.2,4360.44,146.41,0.23,1
142,VSL-7038,9,6,1,1,2026-03-20,2026-03-21,76.47,1066.43,4036.79,103.12,0.0,1
143,VSL-4830,11,12,2,3,2025-08-21,2025-08-23,73.26,1011.74,3865.35,121.45,0.0,1
144,VSL-8606,8,1,1,5,2025-07-28,2025-07-31,50.2,666.66,2643.33,53.88,0.0,1
145,VSL-9071,12,5,2,4,2024-04-29,2024-04-30,53.98,615.25,2822.05,64.64,0.0,1
146,VSL-9850,2,3,4,2,2025-07-04,2025-07-05,38.0,431.55,1986.31,23.84,0.0,1
147,VSL-5583,7,11,5,2,2025-02-28,2025-03-02,52.27,865.03,2786.51,82.91,0.0,1
148,VSL-7018,1,7,1,2,2025-03-30,2025-03-31,63.24,913.63,3344.73,71.42,0.0,1
149,VSL-8450,9,12,5,3,2024-03-03,2024-03-06,92.66,1295.52,4892.1,142.83,0.0,1
150,VSL-6464,2,12,4,2,2025-10-19,2025-10-27,10.96,179.69,583.94,3.88,0.0,1
151,VSL-4538,4,3,5,5,2024-07-29,2024-07-30,55.62,594.36,2899.87,58.35,0.0,1
152,VSL-3370,4,7,1,2,2026-03-18,2026-03-19,37.55,713.65,2020.23,26.87,1.92,0
153,VSL-1243,3,10,5,3,2026-03-28,2026-04-02,37.56,441.14,1966.23,27.52,0.0,1
154,VSL-7897,6,4,1,5,2024-11-27,2024-11-30,42.89,435.67,2231.63,23.64,0.0,1
155,VSL-8405,9,2,4,1,2025-05-02,2025-05-04,57.24,828.99,3027.8,64.63,0.0,1
156,VSL-5941,9,4,1,5,2024-02-14,2024-02-18,61.63,1064.5,3294.4,125.22,0.0,1
157,VSL-2768,8,12,5,1,2024-03-03,2024-03-04,61.03,1219.74,3295.45,137.51,0.0,1
158,VSL-9984,8,9,1,1,2024-03-23,2024-03-27,35.8,473.32,1884.66,19.46,0.0,1
159,VSL-2624,12,6,5,4,2025-09-03,2025-09-16,14.25,218.1,756.12,4.52,0.0,1
160,VSL-7779,12,2,4,5,2026-01-08,2026-01-12,25.59,477.38,1374.98,17.47,2.08,0
161,VSL-5176,6,9,1,4,2025-03-01,2025-03-09,45.65,789.57,2440.41,47.31,0.0,1
162,VSL-7105,6,3,5,4,2024-03-09,2024-03-13,71.98,785.46,3756.09,61.36,0.0,1
163,VSL-7730,3,10,5,1,2025-08-23,2025-08-27,76.11,1489.19,4103.34,177.0,0.0,1
164,VSL-2697,6,12,5,4,2026-01-08,2026-01-09,50.42,530.14,2627.03,34.42,0.0,1
165,VSL-7022,10,9,1,2,2024-06-07,2024-06-13,56.48,935.72,3011.14,64.7,0.0,1
166,VSL-1430,2,6,4,5,2024-08-19,2024-08-28,47.4,856.62,2541.32,74.92,4.26,0
167,VSL-6567,10,12,5,3,2024-01-30,2024-02-01,14.16,167.15,741.43,4.03,0.0,1
168,VSL-1502,6,1,1,2,2024-05-26,2024-05-27,41.06,643.13,2181.63,36.99,0.0,1
169,VSL-6314,2,10,4,2,2025-01-20,2025-01-23,65.41,928.71,3456.24,81.46,0.0,1
170,VSL-2336,10,11,5,1,2024-02-23,2024-02-27,63.34,731.94,3313.39,81.34,0.0,1
171,VSL-9394,5,9,5,4,2025-05-12,2025-05-13,36.02,578.87,1916.77,29.49,0.0,1
172,VSL-6053,2,7,4,4,2024-04-23,2024-04-25,49.82,639.31,2618.86,53.46,0.0,1
173,VSL-3248,1,5,3,4,2025-09-05,2025-09-06,43.82,462.21,2283.44,24.39,0.62,0
174,VSL-7229,5,6,5,3,2024-05-02,2024-05-03,66.08,665.91,3437.18,76.87,0.0,1
175,VSL-1693,9,4,1,5,2025-07-26,2025-07-30,33.56,615.27,1801.05,37.3,0.0,1
176,VSL-7843,7,1,1,4,2024-03-20,2024-03-21,54.87,1021.74,2947.85,88.34,0.0,1
177,VSL-8538,5,2,4,4,2024-01-22,2024-01-25,40.58,797.88,2188.58,37.94,0.44,1
178,VSL-9584,12,6,5,1,2025-03-23,2025-04-04,54.64,1007.83,2933.57,68.47,0.0,1
179,VSL-9363,2,8,4,3,2026-02-02,2026-02-03,73.09,979.05,3850.31,95.39,0.0,1
180,VSL-3419,11,2,4,5,2025-06-06,2025-06-14,40.45,482.93,2119.09,34.7,0.0,1
181,VSL-2234,4,2,4,2,2024-09-19,2024-10-01,36.72,439.64,1923.93,25.87,0.0,1
182,VSL-6295,3,12,5,4,2025-04-20,2025-04-21,77.2,1354.43,4130.89,184.02,0.0,1
183,VSL-5500,11,6,5,2,2025-03-26,2025-03-30,9.26,98.92,482.78,1.32,0.0,1
184,VSL-7041,10,1,1,3,2025-06-03,2025-06-10,81.4,874.39,4244.88,104.04,0.0,1
185,VSL-1672,5,2,4,1,2025-09-21,2025-09-22,43.95,700.6,2337.62,42.63,0.0,1
186,VSL-8381,8,11,5,2,2024-11-25,2024-11-26,49.91,801.06,2655.71,60.03,0.29,1
187,VSL-8199,2,7,4,1,2025-05-31,2025-06-01,56.45,929.24,3008.35,54.51,0.0,1
188,VSL-6543,9,10,1,5,2024-06-11,2024-06-15,33.46,456.36,1764.27,29.29,0.0,1
189,VSL-7333,11,10,5,1,2026-03-19,2026-03-21,47.82,779.89,2546.98,49.77,0.0,1
190,VSL-6731,5,6,5,5,2024-06-02,2024-06-03,58.03,773.75,3056.25,71.07,0.0,1
191,VSL-7171,5,12,2,4,2024-05-12,2024-05-18,54.48,868.98,2897.8,91.75,0.0,1
192,VSL-9624,11,6,5,2,2025-11-17,2025-11-18,50.25,855.67,2683.63,83.72,4.04,0
193,VSL-4509,2,12,4,4,2025-06-04,2025-06-14,95.52,1300.82,5036.16,169.31,0.0,1
194,VSL-2657,6,9,1,2,2024-08-19,2024-08-22,58.12,1162.39,3138.48,78.03,0.0,1
195,VSL-7172,9,10,1,5,2024-02-08,2024-02-09,74.01,1229.99,3946.5,170.81,0.0,1
196,VSL-8170,3,4,5,2,2025-12-10,2025-12-16,86.32,1528.81,4621.76,238.73,0.0,1
197,VSL-8355,1,8,1,3,2025-11-23,2025-11-24,47.78,821.62,2553.32,77.32,0.0,1
198,VSL-4178,4,10,1,2,2024-11-12,2024-11-14,69.53,1366.68,3749.84,169.56,1.62,0
199,VSL-9641,6,12,5,5,2025-03-27,2025-03-28,7.52,109.92,397.98,1.06,0.0,1
200,VSL-8873,7,3,5,2,2026-03-31,2026-04-02,39.48,633.52,2100.7,46.85,0.0,1
201,VSL-3626,6,10,1,1,2025-12-29,2025-12-30,56.84,1049.21,3051.84,110.4,0.0,1
202,VSL-8391,5,9,5,5,2024-05-30,2024-05-31,87.52,1602.53,4696.51,153.12,8.4,0
203,VSL-2337,6,1,1,4,2024-02-24,2024-02-27,64.84,905.46,3423.09,80.67,0.0,1
204,VSL-3392,6,4,1,1,2024-11-22,2024-11-23,79.53,1535.59,4283.62,224.61,0.0,1
205,VSL-8349,3,1,3,3,2025-04-28,2025-05-06,48.53,823.1,2591.12,45.49,0.0,1
206,VSL-9647,10,1,1,1,2024-01-20,2024-01-24,44.36,557.13,2329.43,45.35,0.0,1
207,VSL-8489,7,2,4,3,2024-08-31,2024-09-13,55.91,727.47,2940.99,42.61,0.0,1
208,VSL-3352,2,3,4,4,2025-09-03,2025-09-04,28.05,430.86,1488.67,19.72,0.0,1
209,VSL-2402,5,8,5,1,2025-09-21,2025-10-01,55.51,750.95,2925.69,65.47,0.0,1
210,VSL-1333,9,6,1,1,2025-06-22,2025-06-23,55.57,858.05,2950.11,85.18,0.0,1
211,VSL-6850,7,9,1,1,2025-10-12,2025-10-13,47.83,663.35,2524.17,43.57,0.0,1
212,VSL-6447,2,7,4,2,2026-01-20,2026-01-26,48.89,810.16,2606.53,43.71,0.0,1
213,VSL-8612,3,1,3,3,2025-07-13,2025-07-18,80.32,1075.12,4231.02,141.86,14.48,0
214,VSL-5807,12,8,5,2,2024-05-18,2024-05-23,56.25,597.99,2932.1,59.75,0.0,1
215,VSL-9897,4,1,1,2,2024-02-12,2024-02-13,28.65,376.92,1507.88,14.15,0.0,1
216,VSL-1783,8,5,5,1,2026-02-10,2026-02-19,47.15,776.51,2512.8,47.09,4.66,0
217,VSL-8204,11,6,5,3,2024-05-07,2024-05-08,71.21,1281.31,3816.76,131.11,0.0,1
218,VSL-5369,7,6,1,2,2025-05-23,2025-05-24,80.83,1367.7,4315.04,151.16,0.0,1
219,VSL-6262,2,8,4,1,2025-03-16,2025-03-17,54.85,878.95,2918.29,87.86,0.0,1
220,VSL-3730,2,3,4,3,2025-11-07,2025-11-11,90.95,1178.38,4783.18,154.96,0.0,1
221,VSL-8126,12,8,5,3,2025-04-02,2025-04-04,53.4,556.62,2781.32,55.58,0.0,1
222,VSL-3621,5,12,2,1,2024-03-17,2024-03-19,73.06,1220.97,3897.19,125.44,0.0,1
223,VSL-7001,1,4,1,5,2025-11-25,2025-12-01,29.59,527.09,1584.92,16.14,0.0,1
224,VSL-7095,6,8,1,5,2024-02-03,2024-02-04,44.62,716.19,2374.24,53.66,7.04,0
225,VSL-5089,8,2,4,5,2024-05-20,2024-05-22,30.7,469.54,1628.91,20.15,0.0,1
226,VSL-5264,2,1,3,2,2025-05-26,2025-05-27,63.72,967.11,3379.42,117.92,0.0,1
227,VSL-3009,12,8,5,2,2025-09-18,2025-09-19,71.17,914.95,3741.49,124.8,0.0,1
228,VSL-6236,3,2,4,4,2024-06-25,2024-06-26,14.83,281.57,797.81,6.03,0.0,1
229,VSL-3852,11,6,5,1,2025-07-17,2025-07-18,44.61,687.96,2368.09,58.04,3.61,0
230,VSL-9094,6,10,1,2,2024-05-04,2024-05-08,64.35,1277.43,3472.99,147.31,0.0,1
231,VSL-2412,1,7,1,5,2025-08-09,2025-08-10,69.63,953.17,3672.13,119.71,0.0,1
232,VSL-2208,2,6,4,4,2026-01-04,2026-01-12,56.61,973.05,3025.11,84.04,0.0,1
233,VSL-3981,3,7,5,1,2025-04-05,2025-04-06,49.71,728.67,2631.23,54.96,0.0,1
234,VSL-3653,3,8,5,5,2024-02-26,2024-02-27,65.93,1207.44,3537.99,120.85,0.0,1
235,VSL-5496,6,4,1,3,2025-06-15,2025-06-16,49.88,945.19,2683.04,87.03,0.0,1
236,VSL-3526,3,12,5,3,2025-09-21,2025-09-22,58.06,890.34,3081.07,77.67,0.0,1
237,VSL-1674,3,12,5,5,2026-01-07,2026-01-10,47.54,904.21,2557.84,57.5,0.69,0
238,VSL-7825,1,3,3,1,2025-10-18,2025-10-19,48.49,858.77,2596.25,52.66,0.0,1
239,VSL-5949,10,12,5,1,2025-05-24,2025-05-25,57.33,1082.96,3083.09,95.96,0.0,1
240,VSL-7809,8,4,1,4,2024-10-31,2024-11-01,31.2,453.51,1650.7,23.89,0.0,1
241,VSL-6658,8,9,1,2,2024-12-14,2024-12-15,48.75,783.25,2594.15,50.12,0.0,1
242,VSL-5382,7,3,5,3,2025-06-11,2025-06-14,69.1,1079.1,3670.82,98.36,0.0,1
243,VSL-7850,8,4,1,2,2024-04-09,2024-04-10,39.39,413.83,2052.27,31.71,0.97,0
244,VSL-9433,4,3,5,3,2025-08-14,2025-08-15,34.14,587.59,1824.52,23.87,0.0,1
245,VSL-4944,8,9,1,3,2025-05-24,2025-05-25,21.32,218.14,1109.63,9.05,0.0,1
246,VSL-8710,4,11,5,3,2024-02-19,2024-02-20,46.17,485.03,2405.51,33.48,3.5,0
247,VSL-7606,5,10,5,1,2024-04-20,2024-04-23,36.01,515.28,1903.56,34.93,0.0,1
248,VSL-2204,6,1,1,4,2024-02-22,2024-02-28,54.28,852.35,2884.47,55.27,0.0,1
249,VSL-2946,7,10,1,4,2026-02-21,2026-02-28,47.75,740.06,2535.51,64.5,0.0,1
250,VSL-3363,3,2,4,4,2025-01-17,2025-01-21,45.58,818.11,2442.62,49.93,6.9,0
251,VSL-6456,4,11,5,5,2025-02-15,2025-02-16,39.05,585.78,2069.66,23.91,0.0,1
252,VSL-6218,8,10,1,4,2024-06-01,2024-06-02,25.44,408.63,1353.73,15.75,0.0,1
253,VSL-9351,3,8,5,5,2026-01-27,2026-01-29,37.47,690.42,2011.58,41.23,0.0,1
254,VSL-2795,9,8,1,5,2024-11-02,2024-11-06,6.16,90.85,326.17,0.57,0.0,1
